candidate	pair	region	ABF_PP4	ABF_class	fine_mapping_status
PH3B0_PH002	BMI__Anxiety	chr9:14244748-14902924	0.841283195843326	STRONG_SHARED_SIGNAL	NOT_CONFIRMATORY_LD_QC
PH3B0_PH003	BMI__Anxiety	chr14:46748239-48177483	0.993114096869378	STRONG_SHARED_SIGNAL	NOT_CONFIRMATORY_LD_QC
PH3B0_PH007	BMI__MDD	chr1:72513120-73992170	1.0830693739279e-06	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH011	BMI__MDD	chr3:47588462-50387742	2.18204456233605e-10	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH019	BMI__MDD	chr7:73128831-75243899	0.598446315682936	SUGGESTIVE_SHARED_SIGNAL	NOT_CONFIRMATORY_LD_QC
PH3B0_PH020	BMI__MDD	chr8:92876621-94999066	0.0053673590133521	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH022	BMI__MDD	chr11:45019560-46316005	1.71092630119973e-05	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH023	BMI__MDD	chr12:121817510-123396634	6.25451192146543e-05	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH024	BMI__MDD	chr13:53336572-54684856	1.7021412845777498e-11	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH026	BMI__MDD	chr16:53393883-54866095	0.0012159971224415	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH027	BMI__MDD	chr17:7264459-8554763	0.0119307663477575	DISTINCT_SIGNAL_SUPPORTED	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH028	BMI__MDD	chr18:51060987-52512523	0.973970998797483	STRONG_SHARED_SIGNAL	NOT_CONFIRMATORY_LD_QC
PH3B0_PH042	CAD__MDD	chr17:1480057-2699135	0.013010665530811	WEAK_OR_INCONCLUSIVE	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH049	CD__BMI	chr4:102544804-104384534	0.0189911693774454	WEAK_OR_INCONCLUSIVE	NOT_PERFORMED_OUTSIDE_FROZEN_SET
PH3B0_PH052	CD__CAD	chr3:47588462-50387742	0.9287424609079	STRONG_SHARED_SIGNAL	NOT_CONFIRMATORY_LD_QC
