hotspot	chr	start	stop	pairs	domain_axes	min_atlas_FDR	Bonferroni_any	MHC	annotation_summary
PH3B0_CH009	2	5568654	6306606	BMI__MDD,BMI__PTSD,CAD__MDD	Cardiometabolic__Internalizing	0.0116438877857143	False	False	SOX11;DKFZP761K2322
PH3B0_CH032	2	161432090	163607635	CAD__MDD,PsA__CAD	Cardiometabolic__Internalizing,Immune__Cardiometabolic	0.0090456511304347	False	False	TANK;PSMD14;TBR1;SLC4A10;DPP4;GCG;FAP;IFIH1;GCA;KCNH7
PH3B0_CH011	3	47588462	50387742	BMI__MDD,CD__CAD	Cardiometabolic__Internalizing,Immune__Cardiometabolic	0.0132147872571429	False	False	CSPG5;SMARCC1;DHX30;MAP4;CDC25A;CAMP;ZNF589;NME6;SPINK8;FBXW12;PLXNB1;CCDC51
PH3B0_CH001	3	157633701	158460058	BMI__Anxiety,BMI__MDD	Cardiometabolic__Internalizing	0.0177096507857143	False	False	SHOX2;RSRC1;MLF1;GFM1;LXN;RARRES1;MFSD1
PH3B0_CH048	6	29529756	30715006	PsA__Anxiety,PsA__PTSD	Immune__Internalizing	0.0119064601034483	False	True	GABBR1;OR2H2;MOG;ZFP57;HLA-F;HLA-G;HLA-A;ZNRD1;PPP1R11;RNF39;TRIM31;TRIM40;... (+10)
PH3B0_CH038	6	30715007	31427209	CD__Anxiety,PsA__BMI,PsA__MDD,PsA__PTSD,UC__T2D	Immune__Cardiometabolic,Immune__Internalizing	0.00938369508	False	True	PSORS1C1;PSORS1C2;CCHCR1;TCF19;POU5F1;HCG27;HLA-C;HLA-B;MICA;DDR1;GTF2H4;VARS2;... (+6)
PH3B0_CH049	6	32208902	32897998	PsA__Anxiety,PsA__MDD,PsA__PTSD,UC__T2D	Immune__Cardiometabolic,Immune__Internalizing	1.76609961e-11	True	True	C6orf10;BTNL2;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;HLA-DQB2;HLA-DOB;TAP2;PSMB8
PH3B0_CH016	7	1366973	2473749	BMI__MDD,BMI__PTSD,CAD__MDD,CAD__PTSD	Cardiometabolic__Internalizing	0.0018732306545454	True	False	MICALL2;INTS1;MAFK;TMEM184A;PSMG3;ELFN1;AC074389.6;MAD1L1;AC110781.3;FTSJ2;NUDT1;SNX8
PH3B0_CH002	9	14244748	14902924	BMI__Anxiety,BMI__PTSD	Cardiometabolic__Internalizing	0.0082288746315789	False	False	NFIB;ZDHHC21;CER1;FREM1
PH3B0_CH030	11	112755447	113889019	CAD__Anxiety,CAD__MDD	Cardiometabolic__Internalizing	0.00175955742	True	False	NCAM1;TTC12;ANKK1;DRD2;TMPRSS5;ZW10;CLDN25;USP28;HTR3B;HTR3A
PH3B0_CH043	15	67396521	69089815	CD__CAD,UC__CAD	Immune__Cardiometabolic	0.00175955742	True	False	SMAD3;RP11-342M21.2;AAGAB;IQCH;C15orf61;MAP2K5;SKOR1;PIAS1;CALML4;RP11-315D16.2;CLN6;FEM1B
PH3B0_CH005	18	51060987	53762996	BMI__Anxiety,BMI__MDD	Cardiometabolic__Internalizing	0.0069752975625	False	False	MBD2;POLI;STARD6;C18orf54;DYNAP;RAB27B;CCDC68;TCF4
