panel	pair_hotspot_id	pair	domain_axis	chr	start	stop	cumulative_mid_mb	lead_rho_display	sign	minus_log10_atlas_fdr	MHC_flag	bonferroni_any	global_rg	n_pair_hotspots	global_local_class
A	PH3B0_PH001	BMI__Anxiety	Cardiometabolic__Psychiatric	3.0	157633701.0	158460058.0	650.4968735	-1.0	negative	1.6113726477586672	False	False			
A	PH3B0_PH002	BMI__Anxiety	Cardiometabolic__Psychiatric	9.0	14244748.0	14902924.0	1553.733548	0.591724	positive	2.0846595541818527	False	False			
A	PH3B0_PH003	BMI__Anxiety	Cardiometabolic__Psychiatric	14.0	46748239.0	48177483.0	2247.39904	0.627178	positive	1.4758359086773256	False	False			
A	PH3B0_PH004	BMI__Anxiety	Cardiometabolic__Psychiatric	14.0	102004378.0	103617472.0	2302.747104	0.990108	positive	1.8950436774230153	False	False			
A	PH3B0_PH005	BMI__Anxiety	Cardiometabolic__Psychiatric	18.0	51060987.0	53762996.0	2633.7790655	-0.683401	negative	2.1564372608865807	False	False			
A	PH3B0_PH006	BMI__MDD	Cardiometabolic__Psychiatric	1.0	68633861.0	69438909.0	69.036385	1.0	positive	1.6113726477586672	False	False			
A	PH3B0_PH007	BMI__MDD	Cardiometabolic__Psychiatric	1.0	72513120.0	73992170.0	73.252645	0.46724	positive	2.5612116717955504	False	True			
A	PH3B0_PH008	BMI__MDD	Cardiometabolic__Psychiatric	1.0	201067953.0	202583884.0	201.8259185	0.707549	positive	1.6261346672082149	False	False			
A	PH3B0_PH009	BMI__MDD	Cardiometabolic__Psychiatric	2.0	5568654.0	6306606.0	255.188251	0.629983	positive	1.3240639208000737	False	False			
A	PH3B0_PH010	BMI__MDD	Cardiometabolic__Psychiatric	3.0	35913034.0	36840136.0	528.826579	1.0	positive	2.5612116717955504	False	True			
A	PH3B0_PH011	BMI__MDD	Cardiometabolic__Psychiatric	3.0	47588462.0	50387742.0	541.438096	0.405412	positive	1.4082862513454735	False	False			
A	PH3B0_PH012	BMI__MDD	Cardiometabolic__Psychiatric	3.0	60571140.0	61277587.0	553.3743575	-0.626018	negative	1.3531336315384983	False	False			
A	PH3B0_PH013	BMI__MDD	Cardiometabolic__Psychiatric	3.0	157633701.0	158460058.0	650.4968735	-0.891288	negative	1.751790002521533	False	False			
A	PH3B0_PH014	BMI__MDD	Cardiometabolic__Psychiatric	3.0	172004761.0	173415591.0	665.16017	0.881567	positive	1.3240639208000737	False	False			
A	PH3B0_PH015	BMI__MDD	Cardiometabolic__Psychiatric	4.0	28177793.0	28927438.0	719.0250395	0.858951	positive	1.4082862513454735	False	False			
A	PH3B0_PH016	BMI__MDD	Cardiometabolic__Psychiatric	5.0	103788461.0	104850490.0	985.9461755	0.852776	positive	1.6113726477586672	False	False			
A	PH3B0_PH017	BMI__MDD	Cardiometabolic__Psychiatric	7.0	1366973.0	2473749.0	1235.577388	0.847025	positive	2.7274087438053	False	True			
A	PH3B0_PH018	BMI__MDD	Cardiometabolic__Psychiatric	7.0	32460229.0	33159277.0	1266.46678	1.0	positive	1.4761904127568972	False	False			
A	PH3B0_PH019	BMI__MDD	Cardiometabolic__Psychiatric	7.0	73128831.0	75243899.0	1307.843392	0.518708	positive	1.4758359086773256	False	False			
A	PH3B0_PH020	BMI__MDD	Cardiometabolic__Psychiatric	8.0	92876621.0	94999066.0	1486.7335335	0.606518	positive	1.8242833533376446	False	False			
A	PH3B0_PH021	BMI__MDD	Cardiometabolic__Psychiatric	9.0	10675475.0	12044915.0	1550.519907	0.833469	positive	2.040258770585723	False	False			
A	PH3B0_PH022	BMI__MDD	Cardiometabolic__Psychiatric	11.0	45019560.0	46316005.0	1861.5756725	0.528197	positive	1.4761904127568972	False	False			
A	PH3B0_PH023	BMI__MDD	Cardiometabolic__Psychiatric	12.0	121817510.0	123396634.0	2073.521478	0.591351	positive	1.892235849306679	False	False			
A	PH3B0_PH024	BMI__MDD	Cardiometabolic__Psychiatric	13.0	53336572.0	54684856.0	2138.777015	0.481125	positive	1.4806037010985817	False	False			
A	PH3B0_PH025	BMI__MDD	Cardiometabolic__Psychiatric	13.0	81724090.0	82582821.0	2166.9197565	1.0	positive	1.3034695168262878	False	False			
A	PH3B0_PH026	BMI__MDD	Cardiometabolic__Psychiatric	16.0	53393883.0	54866095.0	2463.9471	0.372338	positive	1.933901988588766	False	False			
A	PH3B0_PH027	BMI__MDD	Cardiometabolic__Psychiatric	17.0	7264459.0	8554763.0	2508.081475	0.662109	positive	2.0435601659874925	False	False			
A	PH3B0_PH028	BMI__MDD	Cardiometabolic__Psychiatric	18.0	51060987.0	52512523.0	2633.153829	-0.548892	negative	1.5958142788090348	False	False			
A	PH3B0_PH029	BMI__MDD	Cardiometabolic__Psychiatric	20.0	44072211.0	45673603.0	2763.446212	0.637361	positive	1.4423179818645002	False	False			
A	PH3B0_PH030	BMI__MDD	Cardiometabolic__Psychiatric	20.0	50653621.0	51533750.0	2769.6669905	0.742476	positive	2.0846595541818527	False	False			
A	PH3B0_PH031	BMI__PTSD	Cardiometabolic__Psychiatric	2.0	5568654.0	6306606.0	255.188251	0.67575	positive	1.3613654142066525	False	False			
A	PH3B0_PH032	BMI__PTSD	Cardiometabolic__Psychiatric	7.0	1366973.0	2473749.0	1235.577388	1.0	positive	2.2106469104321076	False	False			
A	PH3B0_PH033	BMI__PTSD	Cardiometabolic__Psychiatric	9.0	14244748.0	14902924.0	1553.733548	0.994066	positive	2.057134204303432	False	False			
A	PH3B0_PH034	CAD__Anxiety	Cardiometabolic__Psychiatric	11.0	42858198.0	43949377.0	1859.3116775	1.0	positive	1.5057358740778448	False	False			
