phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	pair	locus	chr	start	stop	trait1	trait2	n_snps	K	trait1_h2_obs	trait2_h2_obs	trait1_univ_P	trait2_univ_P	SE	P	rho_na	rho_out_of_bound	ci_invalid	PILOT_QC_ONLY	NOT_DISCOVERY	warning	pair_fdr	atlas_fdr	bonferroni_sig	atlas_fdr_sig_05	atlas_fdr_sig_10	pair_fdr_sig_05	cumulative_mid_bp	cumulative_mid_mb	domain_axis	MHC_flag	minus_log10_atlas_fdr
UC	T2D	-0.745857	-0.86671	-0.61709	0.556303	0.3808	0.75119	1.27149e-15	UC__T2D	965	6	32586785	32629239	UC	T2D	143	16	0.014181646291551	0.0001595535881079	8.45183e-134	8.18667e-27	0.0636785714285714	1.27149e-15	False	False	False	False	False		2.3013969e-13	1.76609961e-11	True	True	True	True	1095149972.0	1095.149972	Immune__Cardiometabolic	True	10.752984805371495
UC	T2D	-0.720671	-0.85513	-0.57727	0.519367	0.33324	0.73125	7.89138e-13	UC__T2D	964	6	32539568	32586784	UC	T2D	153	13	0.0126256169927191	0.0001354978802826	4.9961800000000004e-120	2.5688100000000002e-23	0.0708826530612245	7.89138e-13	False	False	False	False	False		7.1416989e-11	5.48056341e-09	True	True	True	True	1095105136.0	1095.105136	Immune__Cardiometabolic	True	8.261174793107495
UC	T2D	-0.68712	-0.82071	-0.54429	0.472134	0.29625	0.67356	1.38824e-12	UC__T2D	966	6	32629240	32682213	UC	T2D	440	15	0.0109437514528388	0.0001547158724121	5.45907e-102	3.06276e-26	0.070515306122449	1.38824e-12	False	False	False	False	False		8.375714666666669e-11	6.4275512e-09	True	True	True	True	1095197686.5	1095.1976865	Immune__Cardiometabolic	True	8.191954455208025
UC	T2D	-0.667048	-0.81485	-0.52003	0.444953	0.27043	0.66397	1.87965e-12	UC__T2D	962	6	32208902	32454577	UC	T2D	1614	41	0.0157942920955802	0.0001517842483741	4.9208e-137	8.251609999999999e-20	0.0752091836734694	1.87965e-12	False	False	False	False	False		8.50541625e-11	6.527084625e-09	True	True	True	True	1094873699.5	1094.8736995	Immune__Cardiometabolic	True	8.185280756549883
CD	BMI	0.781658	0.5634	1.0	0.610989	0.31742	1.0	5.56178e-09	CD__BMI	228	2	24669225	25895394	CD	BMI	593	95	0.0019372081061807	0.0006528788202299	1.72641e-06	3.19397e-64	0.111377551020408	5.56178e-09	False	False	False	False	False		3.53729208e-06	1.545062484e-05	True	True	True	True	274532930.5	274.5329305	Immune__Cardiometabolic	False	4.811053952544851
PsA	BMI	0.409697	0.26473	0.55087	0.167851	0.07008	0.30346	2.50185e-07	PsA__BMI	961	6	31427210	32208901	PsA	BMI	216	53	0.0341932788373776	0.0002950698219853	5.1254e-172	4.85365e-30	0.0729948979591837	2.50185e-07	False	False	False	False	False		3.9279045e-05	0.0005226469671428	True	True	True	True	1094360015.5	1094.3600155	Immune__Cardiometabolic	True	3.281791565419222
UC	T2D	-0.483134	-0.653	-0.31669	0.233418	0.10029	0.4264	2.63393e-07	UC__T2D	967	6	32682214	32897998	UC	T2D	1538	71	0.0147244296287759	0.0001677927947186	1.42816e-115	2.5520500000000002e-18	0.0857933673469388	2.63393e-07	False	False	False	False	False		9.5348266e-06	0.0005226469671428	True	True	True	True	1095332066.0	1095.332066	Immune__Cardiometabolic	True	3.281791565419222
UC	T2D	-0.82374	-0.99697	-0.61265	0.678547	0.37534	0.99395	1.15053e-06	UC__T2D	963	6	32454578	32539567	UC	T2D	9	2	0.005746202561566	4.5303466604234e-05	7.3977199999999995e-59	2.38423e-10	0.0980408163265306	1.15053e-06	False	False	False	False	False		3.4707655e-05	0.00175955742	True	True	True	True	1095039032.5	1095.0390325	Immune__Cardiometabolic	True	2.754596556176186
CD	CAD	-0.77894	-1.0	-0.50171	0.606748	0.25171	1.0	1.21574e-06	CD__CAD	2071	15	67396521	69089815	CD	CAD	683	169	0.0025889093744915	0.0001494831099776	6.30154e-07	1.07361e-13	0.127114795918367	1.21574e-06	False	False	False	False	False		0.00053978856	0.00175955742	True	True	True	True	2375528887.0	2375.528887	Immune__Cardiometabolic	False	2.754596556176186
CAD	MDD	1.00404	0.65259	1.0	1.00809	0.42587	1.0	1.26678e-06	CAD__MDD	1719	11	112755447	113889019	CAD	MDD	514	130	3.44578524486129e-05	0.0002462652777047	0.0111236	5.69025e-30	0.088625	1.26678e-06	False	True	True	False	False		0.00102862536	0.00175955742	True	True	True	True	1929230123.0	1929.230123	Cardiometabolic__Psychiatric	False	2.754596556176186
BMI	MDD	0.847025	0.57187	1.0	0.717451	0.32704	1.0	1.48348e-06	BMI__MDD	1096	7	1366973	2473749	BMI	MDD	471	114	0.0001365270289398	0.0001070546628914	2.36419e-07	1.93826e-10	0.109216836734694	1.48348e-06	False	False	False	False	False		0.00120559733	0.0018732306545454	True	True	True	True	1235577388.0	1235.577388	Cardiometabolic__Psychiatric	False	2.7274087438053
BMI	MDD	1.19501	0.59424	1.0	1.42805	0.35312	1.0	2.48696e-06	BMI__MDD	456	3	35913034	36840136	BMI	MDD	746	116	8.36038811683998e-05	6.15202246889203e-05	0.000465777	4.24523e-05	0.103510204081633	2.48696e-06	False	True	True	False	False		0.00120559733	0.002746555176923	True	True	True	True	528826579.0	528.826579	Cardiometabolic__Psychiatric	False	2.5612116717955504
BMI	MDD	0.46724	0.28736	0.6387	0.218313	0.08258	0.40794	2.57057e-06	BMI__MDD	62	1	72513120	73992170	BMI	MDD	870	58	0.0004352601311093	0.0001666437020109	1.1444299999999999e-45	3.05708e-25	0.0896275510204082	2.57057e-06	False	False	False	False	False		0.00120559733	0.002746555176923	True	True	True	True	73252645.0	73.252645	Cardiometabolic__Psychiatric	False	2.5612116717955504
BMI	PTSD	1.02672	0.63409	1.0	1.05416	0.40208	1.0	6.20553e-06	BMI__PTSD	1096	7	1366973	2473749	BMI	PTSD	499	114	0.0001340409997402	0.0001324684587616	3.44536e-07	0.000298749	0.093344387755102	6.20553e-06	False	True	True	False	False		0.00554153829	0.0061567722642857	False	True	True	True	1235577388.0	1235.577388	Cardiometabolic__Psychiatric	False	2.2106469104321076
CAD	MDD	0.857547	0.55365	1.0	0.735386	0.30653	1.0	6.89965e-06	CAD__MDD	1096	7	1366973	2473749	CAD	MDD	343	109	6.0824734075563e-05	0.0001099405331166	2.71609e-05	4.66585e-11	0.113864795918367	6.89965e-06	False	False	False	False	False		0.0028012579	0.0063890759	False	True	True	True	1235577388.0	1235.577388	Cardiometabolic__Psychiatric	False	2.194561952569788
BMI	Anxiety	-0.683401	-0.98468	-0.41881	0.467037	0.1754	0.9696	8.0349e-06	BMI__Anxiety	2281	18	52512524	53762996	BMI	Anxiety	675	129	0.0002715575364505	0.0005163257272185	1.20476e-17	2.20822e-07	0.144354591836735	8.0349e-06	False	False	False	False	False		0.00714025525	0.0069752975625	False	True	True	True	2634504834.0	2634.504834	Cardiometabolic__Psychiatric	False	2.1564372608865807
BMI	Anxiety	0.591724	0.35094	0.86185	0.350138	0.12316	0.74279	1.07615e-05	BMI__Anxiety	1389	9	14244748	14902924	BMI	Anxiety	735	241	0.0002576200491567	0.0011075137875093	2.31046e-11	6.46448e-14	0.130334183673469	1.07615e-05	False	False	False	False	False		0.00714025525	0.0082288746315789	False	True	True	True	1553733548.0	1553.733548	Cardiometabolic__Psychiatric	False	2.0846595541818527
CD	BMI	0.596892	0.34971	0.8915	0.35628	0.1223	0.79478	1.12464e-05	CD__BMI	692	4	102544804	104384534	CD	BMI	1077	147	0.0023043709130739	0.0005040627288579	1.98313e-06	2.2902799999999997e-39	0.138211734693878	1.12464e-05	False	False	False	False	False		0.002907898	0.0082288746315789	False	True	True	True	793937093.0	793.937093	Immune__Cardiometabolic	False	2.0846595541818527
BMI	MDD	0.742476	0.46388	1.0	0.55127	0.21518	1.0	1.12562e-05	BMI__MDD	2414	20	50653621	51533750	BMI	MDD	759	79	0.0002382743594816	6.13105563526189e-05	1.4457800000000002e-18	3.57777e-06	0.136765306122449	1.12562e-05	False	False	False	False	False		0.00369311705	0.0082288746315789	False	True	True	True	2769666990.5	2769.6669905	Cardiometabolic__Psychiatric	False	2.0846595541818527
BMI	PTSD	0.994066	0.58935	1.0	0.988167	0.34733	1.0	1.26239e-05	BMI__PTSD	1389	9	14244748	14902924	BMI	PTSD	660	219	0.0002375776346156	0.0001226123289388	9.7784e-11	0.00771002	0.104757653061224	1.26239e-05	False	False	False	False	False		0.00563657135	0.00876729855	False	True	True	True	1553733548.0	1553.733548	Cardiometabolic__Psychiatric	False	2.057134204303432
CD	BMI	0.664851	0.39366	1.0	0.442027	0.15497	1.0	1.37165e-05	CD__BMI	2127	16	27443062	29043177	CD	BMI	529	116	0.001738392094619	0.0004516593998406	3.90499e-05	2.32604e-37	0.154678571428571	1.37165e-05	False	False	False	False	False		0.002907898	0.0090456511304347	False	True	True	True	2438060230.5	2438.0602305	Immune__Cardiometabolic	False	2.0435601659874925
