panel	pair	locus	chr	start	stop	primary_rho	noUKBB_rho_display	robustness_class	testable	pair_hotspot_id	PP.H3.abf	PP.H4.abf	coloc_evidence_class	trait1_type	trait2_type
A	UC__MDD	465.0	3	50387743	51953968	-0.723942	-0.759338	MDD_ROBUST	True						
A	PsA__MDD	957.0	6	30715007	31106493	0.422531	0.278131	MDD_ROBUST	True						
A	PsA__MDD	958.0	6	31106494	31250556	0.530442	0.438892	MDD_ROBUST	True						
A	PsA__MDD	962.0	6	32208902	32454577	0.74895	0.508722	MDD_ROBUST	True						
A	BMI__MDD	59.0	1	68633861	69438909	1.03966	0.987074	MDD_ROBUST	True						
A	BMI__MDD	62.0	1	72513120	73992170	0.46724	0.447215	MDD_ROBUST	True						
A	BMI__MDD	155.0	1	201067953	202583884	0.707549	0.558474	MDD_ROBUST	True						
A	BMI__MDD	209.0	2	5568654	6306606	0.629983	0.633059	MDD_ROBUST	True						
A	BMI__MDD	456.0	3	35913034	36840136	1.19501		MDD_NOT_TESTABLE	False						
A	BMI__MDD	464.0	3	47588462	50387742	0.405412	0.436449	MDD_ROBUST	True						
A	BMI__MDD	473.0	3	60571140	61277587	-0.626018	-0.552935	MDD_ROBUST	True						
A	BMI__MDD	559.0	3	157633701	158460058	-0.891288	-0.936702	MDD_ROBUST	True						
A	BMI__MDD	573.0	3	172004761	173415591	0.881567		MDD_NOT_TESTABLE	False						
A	BMI__MDD	626.0	4	28177793	28927438	0.858951	0.730458	MDD_ROBUST	True						
A	BMI__MDD	862.0	5	103788461	104850490	0.852776	0.663764	MDD_ROBUST	True						
A	BMI__MDD	1096.0	7	1366973	2473749	0.847025	0.780127	MDD_ROBUST	True						
A	BMI__MDD	1130.0	7	32460229	33159277	1.09251		MDD_NOT_TESTABLE	False						
A	BMI__MDD	1166.0	7	73128831	75243899	0.518708	0.521603	MDD_ROBUST	True						
A	BMI__MDD	1324.0	8	92876621	94999066	0.606518	0.43761	MDD_ROBUST	True						
A	BMI__MDD	1384.0	9	10675475	11270764	0.833469	0.817366	MDD_ROBUST	True						
A	BMI__MDD	1385.0	9	11270765	12044915	0.831669	0.6672	MDD_ROBUST	True						
A	BMI__MDD	1657.0	11	45019560	46316005	0.528197	0.580989	MDD_ROBUST	True						
A	BMI__MDD	1850.0	12	121817510	123396634	0.591351	0.548353	MDD_ROBUST	True						
A	BMI__MDD	1895.0	13	53336572	54684856	0.481125	0.374446	MDD_ROBUST	True						
A	BMI__MDD	1921.0	13	81724090	82582821	1.01841	1.0	MDD_ROBUST	True						
A	BMI__MDD	2135.0	16	53393883	54866095	0.372338	0.348296	MDD_ROBUST	True						
A	BMI__MDD	2181.0	17	7264459	8554763	0.662109	0.635722	MDD_ROBUST	True						
A	BMI__MDD	2280.0	18	51060987	52512523	-0.548892	-0.507511	MDD_ROBUST	True						
A	BMI__MDD	2408.0	20	44072211	45673603	0.637361	0.475514	MDD_ROBUST	True						
A	BMI__MDD	2414.0	20	50653621	51533750	0.742476	0.695318	MDD_ROBUST	True						
A	T2D__MDD	81.0	1	92904466	94168576	1.16997	1.0	MDD_ROBUST	True						
A	T2D__MDD	1658.0	11	46316006	48066366	0.890295	0.812347	MDD_ROBUST	True						
A	T2D__MDD	2102.0	16	60169	1049079	0.967388	1.0	MDD_ROBUST	True						
A	T2D__MDD	2338.0	19	31763009	33028099	1.15898		MDD_NOT_TESTABLE	False						
A	CAD__MDD	34.0	1	35201627	36855139	1.00226	0.937258	MDD_ROBUST	True						
A	CAD__MDD	209.0	2	5568654	6306606	0.997259	1.0	MDD_ROBUST	True						
A	CAD__MDD	347.0	2	161432090	163607635	0.762343	0.849997	MDD_ROBUST	True						
A	CAD__MDD	1096.0	7	1366973	2473749	0.857547	0.768902	MDD_ROBUST	True						
A	CAD__MDD	1719.0	11	112755447	113889019	1.00404	0.995989	MDD_ROBUST	True						
A	CAD__MDD	2096.0	15	96864279	98025684	0.812713	0.667486	MDD_ROBUST	True						
A	CAD__MDD	2175.0	17	1480057	2699135	0.653823	0.555745	MDD_ROBUST	True						
B	BMI__MDD		18	51060987	52512523					PH3B0_PH028	0.0260290012014797	0.973970998797483	STRONG_SHARED_SIGNAL	quant	cc
B	CD__CAD		3	47588462	50387742					PH3B0_PH052	0.0712550852281857	0.9287424609079	STRONG_SHARED_SIGNAL	cc	cc
B	BMI__Anxiety		9	14244748	14902924					PH3B0_PH002	0.158485574027522	0.841283195843326	STRONG_SHARED_SIGNAL	quant	cc
B	BMI__MDD		1	72513120	73992170					PH3B0_PH007	0.99999891693064	1.0830693739279e-06	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		3	47588462	50387742					PH3B0_PH011	0.999999999781366	2.18204456233605e-10	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__Anxiety		14	46748239	48177483					PH3B0_PH003	0.0067354395417367	0.993114096869378	STRONG_SHARED_SIGNAL	quant	cc
B	BMI__MDD		7	73128831	75243899					PH3B0_PH019	0.342276019518992	0.598446315682936	SUGGESTIVE_SHARED_SIGNAL	quant	cc
B	CD__BMI		4	102544804	104384534					PH3B0_PH049	0.564651966074034	0.0189911693774454	WEAK_OR_INCONCLUSIVE	cc	quant
B	CAD__MDD		17	1480057	2699135					PH3B0_PH042	0.106950208551854	0.013010665530811	WEAK_OR_INCONCLUSIVE	cc	cc
B	BMI__MDD		17	7264459	8554763					PH3B0_PH027	0.894167984639955	0.0119307663477575	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		8	92876621	94999066					PH3B0_PH020	0.988058522112361	0.0053673590133521	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		16	53393883	54866095					PH3B0_PH026	0.949254754417803	0.0012159971224415	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		12	121817510	123396634					PH3B0_PH023	0.997365350655586	6.25451192146543e-05	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		11	45019560	46316005					PH3B0_PH022	0.993910359164568	1.71092630119973e-05	DISTINCT_SIGNAL_SUPPORTED	quant	cc
B	BMI__MDD		13	53336572	54684856					PH3B0_PH024	0.99999999743001	1.7021412845777498e-11	DISTINCT_SIGNAL_SUPPORTED	quant	cc
