cross_pair_hotspot_id	chr	start	stop	pair	pair_present	n_pairs	MHC_flag	recurrent_hotspot	multi_axis_hotspot	pan_domain_hotspot
PH3B0_CH031	1	35201627	36855139	CD__BMI	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CD__CAD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CD__T2D	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__BMI	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__CAD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__T2D	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__BMI	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__CAD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__T2D	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CD__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CD__MDD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CD__PTSD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__MDD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	PsA__PTSD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__MDD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	UC__PTSD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	BMI__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	BMI__MDD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	BMI__PTSD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CAD__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CAD__MDD	1	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	CAD__PTSD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	T2D__Anxiety	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	T2D__MDD	0	1	False	False	False	False
PH3B0_CH031	1	35201627	36855139	T2D__PTSD	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	CD__BMI	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	CD__CAD	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	CD__T2D	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	PsA__BMI	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	PsA__CAD	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	PsA__T2D	0	1	False	False	False	False
PH3B0_CH057	1	49185415	51777577	UC__BMI	1	1	False	False	False	False
